I0312 02:30:31.936127    7551 serve.go:43] cloudcode_cli (Feb 19 2025 21:00:54 -0800, cl:728935864 baseline:726298444)
E0312 02:56:32.811730    7551 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
W0312 02:56:32.811751    7551 retention.go:173] Could not get offsets for range in document. range: &{{19 30} {20 0}}, error: invalid column number
W0312 02:56:55.492456    7551 retention.go:173] Could not get offsets for range in document. range: &{{19 30} {20 0}}, error: invalid column number
E0312 02:56:55.492556    7551 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
W0312 02:56:55.492584    7551 retention.go:173] Could not get offsets for range in document. range: &{{21 30} {22 0}}, error: invalid column number
W0312 02:56:55.492692    7551 retention.go:173] Could not get offsets for range in document. range: &{{21 30} {22 0}}, error: invalid column number
E0312 02:56:55.492861    7551 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
W0312 02:56:55.492874    7551 retention.go:173] Could not get offsets for range in document. range: &{{21 30} {22 0}}, error: invalid column number
I0312 02:57:32.143607    7551 life_cycle.go:297] codeReportEvery: recomputing codereport metric
I0312 02:59:53.825868    7551 handler.go:159] cancel was requested for: 40, needs to be canceled: false
I0312 02:59:53.825888    7551 handler.go:163] cancel requested for 40 but not found
I0312 03:00:32.143395    7551 life_cycle.go:261] codeReportBasicEvery: recomputing codereportbasic metric
